Brand,Storages,Type,Price Grade A,Price Grade B,Price Grade C
Sony Playstation 3 slim,PS3 (Slim),120GB,540.000,440.000,340.000
Sony Playstation 3 slim,PS3 (Slim),160GB,690.000,590.000,390.000
Sony Playstation 3 slim,PS3 (Slim),250GB,790.000,590.000,490.000
Sony Playstation 3 slim,PS3 (Slim),320GB,990.000,790.000,590.000
Sony Playstation 3 slim,PS3 (Slim),500GB,1.090.000,890.000,690.000
Sony Playstation 3 super slim,PS3 (Super Slim),320GB,980.000,780.000,580.000
Sony Playstation 4,PS4 (Fat),500GB,880.000,680.000,480.000
Sony Playstation 4,PS4 (Fat),1TB,1.080.000,880.000,680.000
Sony Playstation 4 slim,PS4 (Slim),500GB,1.580.000,1.380.000,1.180.000
Sony Playstation 4 slim,PS4 (Slim),1TB,1.980.000,1.780.000,1.580.000
Sony Playstation 4 Pro,PS4 (Pro),1TB,2.180.000,1.980.000,1.780.000
